,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000050438,58.8723806496954,-1.84009856584424,0.499207889152158,-3.87222619560873,0.000107845795732447,0.0196170083798373
2,ENSG00000050730,21.8706033802363,-1.98137343661728,0.523712203450686,-4.22366939493194,2.40356560294094e-05,0.00940648751853177
3,ENSG00000072041,9.52623743489721,-1.43849874148902,0.524251133519804,-3.64830572282526,0.000263975405808278,0.0299614262785921
4,ENSG00000078814,17.5093455492384,-1.62084417584407,0.527029616064025,-3.40339943605866,0.000665529075889942,0.0480353793258105
5,ENSG00000081138,10.8094483226542,-1.11273823497073,0.506010011551838,-3.39677545343875,0.000681848934902369,0.0486155530063385
6,ENSG00000083067,17.8780737487327,-2.03171616251759,0.525576259108606,-4.41100120798434,1.02893744080872e-05,0.00693360243322064
7,ENSG00000091536,41.3928418132951,-1.71259801115579,0.528566060109594,-3.77951208452946,0.000157135967418763,0.0236599028508724
8,ENSG00000092445,101.622866728061,-1.52818691307426,0.439052504784813,-3.52270260804949,0.000427170395635386,0.038534905879
9,ENSG00000094661,13.7078286684333,-1.42604104833029,0.526735722647687,-3.4668877412962,0.000526521734362769,0.0423405217527978
10,ENSG00000104970,21.7641631303673,-1.68172343739029,0.519963790295743,-3.52198634698041,0.00042832620206082,0.038534905879
11,ENSG00000106477,83.4985656256462,-1.23320411987999,0.363634563366608,-3.39974376181459,0.000674490289711448,0.0482863759841802
12,ENSG00000109684,36.0775785247907,-1.7734982652475,0.526146945163792,-3.8152090988837,0.000136067665543609,0.0221878486841527
13,ENSG00000110436,27.6909251772131,-1.699538110566,0.529773963038777,-3.94411042855483,8.00967453105094e-05,0.0169949853212456
14,ENSG00000111732,37.0655284834265,-1.7594160155782,0.529135569655642,-3.97131656078076,7.14765267179075e-05,0.0165628041056456
15,ENSG00000118197,29.9901967195545,-1.64738695591903,0.478040104363134,-3.52428912603648,0.000424620645851284,0.038534905879
16,ENSG00000119703,41.43257721598,-1.75212914376666,0.504249789333108,-3.65678894770936,0.000255394490530437,0.0298158910399411
17,ENSG00000121207,15.5201582179379,-1.66097783261412,0.529449930521663,-3.65697313512338,0.000255211116442621,0.0298158910399411
18,ENSG00000124493,23.9575926185256,-1.77169300735053,0.529413396458842,-4.42846553099695,9.49058821596292e-06,0.00693360243322064
19,ENSG00000126091,42.0181444284363,-1.76946888822171,0.514797023982655,-3.68219333292268,0.000231235942247444,0.0294708286468496
20,ENSG00000131914,9.21735552487032,-1.74320414962728,0.527213582767222,-3.65868479482662,0.000253512910177986,0.0298158910399411
21,ENSG00000132854,91.3844658139129,-1.85012290035998,0.504928025605463,-3.88161535600407,0.00010376491028746,0.0193581119698221
22,ENSG00000132938,8.16496200678731,-2.36678958897437,0.528607436959953,-4.32109061022093,1.55259896398564e-05,0.00781223438707174
23,ENSG00000133640,13.5506003165325,-1.6000158441483,0.527967483874763,-3.93659578239338,8.26456423834669e-05,0.0171232048001792
24,ENSG00000134548,25.4264999770375,-1.04380504566819,0.496983579212218,-3.98519343104952,6.74251776717937e-05,0.0162660932051775
25,ENSG00000134757,25.9006838724502,-1.51289155843986,0.529772048568446,-3.37579429982191,0.000736029260941785,0.0498546589017145
26,ENSG00000136928,26.145810691651,-1.38118939387327,0.524732846659811,-3.53039909215223,0.000414933258950558,0.038534905879
27,ENSG00000137720,57.5332640281273,-1.47775053361292,0.411725209715405,-3.61096958982532,0.000305054432974146,0.0329468143602529
28,ENSG00000138347,22.0361804251599,-1.48076518571054,0.524317023960986,-4.07806879617568,4.54113306870531e-05,0.0138642380604462
29,ENSG00000138741,19.8367397762655,-1.47165777712005,0.527634875270926,-3.56429699129486,0.000364832687785777,0.0362998218338718
30,ENSG00000140323,36.3549175884968,-1.67388427539323,0.506877665319432,-3.46922549384408,0.000521961162134566,0.0423405217527978
31,ENSG00000140795,21.3816172761517,-1.68421993790934,0.52975241383112,-3.92386996639739,8.71377808839318e-05,0.0172582591581303
32,ENSG00000145936,117.503899066767,-1.60375678518237,0.474944041400954,-3.45915571063661,0.000541871544391376,0.0428917404240855
33,ENSG00000149926,21.5819156586642,-1.3381252906147,0.521799661930815,-3.5510204400854,0.000383740613449402,0.0373373256544609
34,ENSG00000150656,11.9606468719509,-1.60063573666262,0.524790899718045,-4.55682206687269,5.1933382264336e-06,0.0053799929121013
35,ENSG00000152348,94.2283244114573,-1.61068808355546,0.443777738180461,-3.68171214037047,0.000231672903085856,0.0294708286468496
36,ENSG00000152463,20.5600353311131,-1.56389601177166,0.528305515146393,-3.86036373479608,0.0001132183647069,0.0199388862085322
37,ENSG00000154997,5.5251895400096,-1.40763889431034,0.521986075969964,-3.67003883712124,0.000242513619913343,0.0297874910465174
38,ENSG00000158023,80.3663933967077,-2.46365397863911,0.498541400283907,-5.30018403601502,1.15686009214983e-07,0.000509336577071265
39,ENSG00000161082,57.0134094597919,-1.73789145111872,0.491623047534036,-3.66893435037815,0.00024356360857978,0.0297874910465174
40,ENSG00000161149,12.2755650149622,-1.64485661766744,0.523528995929839,-3.38723324896444,0.000706013361100723,0.0489511862297041
41,ENSG00000161929,99.9572671608349,-1.64223218240394,0.507416130899057,-3.41022748755009,0.00064908714399704,0.047320278158332
42,ENSG00000162490,27.0324948734964,-1.81208219465719,0.515847015970246,-3.79908672971187,0.000145230267060994,0.0228361627965283
43,ENSG00000163288,20.0451515139346,-1.57422444680527,0.526701095044069,-4.16608416658302,3.09876335572774e-05,0.0111480476410517
