,log2FoldChange,gene_id,gene_name
ENSG00000197428,-1.3268006337505,ENSG00000197428,NEK5
ENSG00000199732,-1.0990078255187,ENSG00000199732,OR51D1
ENSG00000203531,-1.63243113211039,ENSG00000203531,Y_RNA
ENSG00000203593,-1.80797190984737,ENSG00000203593,AC016712.1
ENSG00000205181,-1.47335319704326,ENSG00000205181,RP5-1096D14.6
ENSG00000206579,-1.65585921180531,ENSG00000206579,LINC00654
ENSG00000213590,-1.69167531837063,ENSG00000213590,XKR4
ENSG00000213605,-1.30599564589079,ENSG00000213605,MT-TN
ENSG00000213970,-1.78764167767161,ENSG00000213970,RP11-229P13.2
ENSG00000214595,-1.70252460580517,ENSG00000214595,AC111200.2
ENSG00000215014,-1.63102741114651,ENSG00000215014,RP11-264F23.1
ENSG00000215375,-1.71626025506787,ENSG00000215375,EML6
ENSG00000215458,-1.2632874854944,ENSG00000215458,RP5-832C2.5
ENSG00000215878,-1.25837975985247,ENSG00000215878,MYL5
ENSG00000221883,-1.55858723386968,ENSG00000221883,AATBC
ENSG00000221933,-1.09121664818846,ENSG00000221933,MARCKSL1P2
ENSG00000222035,-1.35885311464539,ENSG00000222035,ARIH2OS
ENSG00000222721,-1.32050275344105,ENSG00000222721,OR2A25
ENSG00000224074,-1.58220039211752,ENSG00000224074,KIAA2012-AS1
ENSG00000224297,-1.34333521646464,ENSG00000224297,RN7SKP188
ENSG00000224805,-1.63808254682065,ENSG00000224805,LINC00691
ENSG00000225465,-2.10797895632969,ENSG00000225465,RP11-197P3.1
ENSG00000226132,-1.14100565798294,ENSG00000226132,LINC00853
ENSG00000226445,-1.94312966239164,ENSG00000226445,RFPL1S
ENSG00000227304,-2.11875936619974,ENSG00000227304,RPS3AP46
ENSG00000227706,-1.37841546489692,ENSG00000227706,XXyac-YX65C7_A.2
ENSG00000227775,-1.95575103816617,ENSG00000227775,RP11-791G16.2
ENSG00000228262,-2.04310787141791,ENSG00000228262,RP11-301G19.1
ENSG00000228697,-1.21631093043862,ENSG00000228697,RP1-283E3.4
ENSG00000229052,-1.27958372887583,ENSG00000229052,LINC01320
ENSG00000229140,-1.96008025854935,ENSG00000229140,RP5-968D22.3
ENSG00000230947,-1.72000594922084,ENSG00000230947,RP11-386I23.1
ENSG00000231881,-1.84647064755424,ENSG00000231881,CCDC26
ENSG00000231896,-1.22260096807038,ENSG00000231896,AP000356.2
ENSG00000232044,-1.6828152932754,ENSG00000232044,RP5-1120P11.3
ENSG00000232046,-1.58539112798068,ENSG00000232046,AC019185.4
ENSG00000232940,-2.0821908794359,ENSG00000232940,SILC1
ENSG00000233330,-1.18026508292709,ENSG00000233330,LINC01798
ENSG00000234380,-1.58775531724227,ENSG00000234380,HCG25
ENSG00000234707,-1.69617953675593,ENSG00000234707,RP1-12G14.7
ENSG00000234840,-1.3556827526965,ENSG00000234840,LINC01426
ENSG00000234889,-1.40713391429621,ENSG00000234889,SEC61G-DT
ENSG00000235158,-1.08860029734534,ENSG00000235158,LINC01239
ENSG00000235314,-1.59040609958476,ENSG00000235314,KPNB1P1
ENSG00000235931,-1.69538062859452,ENSG00000235931,AC087430.1
ENSG00000236048,-1.09115991468683,ENSG00000236048,LINC00957
ENSG00000236197,-1.14831141964623,ENSG00000236197,LINC01553
ENSG00000236539,-1.73083488262286,ENSG00000236539,SSBL5P
ENSG00000236653,-1.12446486372523,ENSG00000236653,PPP1R9A-AS1
ENSG00000236790,-1.67623682722971,ENSG00000236790,HNRNPA1P54
ENSG00000237489,-1.947419310639,ENSG00000237489,LINC01923
ENSG00000237642,-1.30673900515602,ENSG00000237642,LINC00299
ENSG00000237775,-1.78937547669236,ENSG00000237775,C10orf143
ENSG00000237807,-1.86713949550692,ENSG00000237807,HMGB3P5
ENSG00000239254,-1.847594833125,ENSG00000239254,DDR1-DT
ENSG00000239572,-2.12057612446164,ENSG00000239572,RP11-400K9.4
ENSG00000239649,-1.08964243015898,ENSG00000239649,RP11-365F18.3
ENSG00000239922,-1.22260440456917,ENSG00000239922,RP11-451B8.1
ENSG00000240045,-1.70857106154044,ENSG00000240045,MYADML
ENSG00000240291,-1.67755876679902,ENSG00000240291,RP11-71N10.1
ENSG00000241180,-1.24739683202339,ENSG00000241180,STRIT1
